lp,Data,Pora roku,Kwartał,Miesiąc,Tydzień,Dzień tygodnia,Dzień miesiąca,Pora zaśnięcia,Godzina zaśnięcia,Minuty zaśnięcia,Pora wybudzenia,Godzina wybudzenia,Minuty wybudzenia,Różnica,h różnica,min różnica,Różnica (minuty),Liczba wybudzeń,Liczba drzemek,Drzemki (minuty),Długość snu ogółem (podstawa + drzemki),DS ogółem (h),DS ogółem (minuty),DS ogółem (łącznie w min),minuty w łóżku gdy nie spałem,czy zasnąłem po północy?
331,2024-11-26,4,4,11,48,3,26,22:32,22,32,06:32,6,32,08:00,8,0,480,5,0,0,07:50:00,7,50,470,10,FALSE
332,2024-11-27,4,4,11,48,4,27,22:57,22,57,07:54,7,54,08:57,8,57,537,4,3,92,08:50:00,8,50,530,99,FALSE
333,2024-11-28,4,4,11,48,5,28,23:38,23,38,07:41,7,41,08:03,8,3,483,9,0,0,07:28:00,7,28,448,35,FALSE
334,2024-11-29,4,4,11,48,6,29,23:25,23,25,05:10,5,10,05:45,5,45,345,3,2,91,07:07:00,7,7,427,9,FALSE
335,2024-11-30,4,4,11,48,7,30,00:39,0,39,07:25,7,25,06:46,6,46,406,4,0,0,06:14:00,6,14,374,32,TRUE
336,2024-12-01,1,4,12,49,1,1,23:53,23,53,09:16,9,16,09:23,9,23,563,6,0,0,07:56:00,7,56,476,87,FALSE
337,2024-12-02,1,4,12,49,2,2,00:04,0,4,05:38,5,38,05:34,5,34,334,7,3,149,07:31:00,7,31,451,32,TRUE
338,2024-12-03,1,4,12,49,3,3,00:06,0,6,06:16,6,16,06:10,6,10,370,4,0,0,05:39:00,5,39,339,31,TRUE
339,2024-12-04,1,4,12,49,4,4,00:54,0,54,08:10,8,10,07:16,7,16,436,4,0,0,04:57:00,4,57,297,139,TRUE
340,2024-12-05,1,4,12,49,5,5,22:32,22,32,06:38,6,38,08:06,8,6,486,5,0,0,07:56:00,7,56,476,10,FALSE
341,2024-12-06,1,4,12,49,6,6,23:11,23,11,06:24,6,24,07:13,7,13,433,5,2,70,07:52:00,7,52,472,31,FALSE
342,2024-12-07,1,4,12,49,7,7,23:46,23,46,05:34,5,34,05:48,5,48,348,3,0,0,05:41:00,5,41,341,7,FALSE
